word,syllable break,phoneme,syllabilized phonemes
discover,dis.cov.er,d ɪ s k ˈʌ v ɚ,d ɪ s . k ˈʌ v . ɚ
new,new,n j ˈu,n j ˈu
it,it,ˈɪ t,ˈɪ t
biosphere,bi.o.sphere,b ˈaɪ oʊ s f ˌɪ ɹ,b ˈaɪ . oʊ . s f ˌɪ ɹ
includes,in.cludes,ɪ ŋ k l ˈu d z,ɪ ŋ . k l ˈu d z
everything,eve.ry.thing,ˈɛ v ɹ i θ ˌɪ ŋ,ˈɛ v . ɹ i . θ ˌɪ ŋ
on,on,ˈɔ n,ˈɔ n
earth,earth,ˈɚ θ,ˈɚ θ
this,this,ð ˈɪ s,ð ˈɪ s
an,an,ə n,ə n
important,im.por.tant,ɪ m p ˈɔ ɹ t ə n t,ɪ m . p ˈɔ ɹ . t ə n t
idea,i.dea,aɪ d ˈi ə,aɪ . d ˈi ə
because,be.cause,b ɪ k ˈʌ z,b ɪ . k ˈʌ z
like,like,l ˈaɪ k,l ˈaɪ k
pollution,pol.lu.tion,p ə l ˈu ʃ ə n,p ə . l ˈu . ʃ ə n
just,just,d͡ʒ ˈʌ s t,d͡ʒ ˈʌ s t
stay,stay,s t ˈeɪ,s t ˈeɪ
in,in,ˈɪ n,ˈɪ n
one,one,w ˈʌ n,w ˈʌ n
area,ar.e.a,ˈɛ ɹ i ə,ˈɛ ɹ . i . ə
big,big,b ˈɪ ɡ,b ˈɪ ɡ
connected,con.nect.ed,k ə n ˈɛ k t ɪ d,k ə . n ˈɛ k . t ɪ d
ecosystem,e.co.sys.tem,ˈi k oʊ s ˌɪ s t ə m,ˈi . k oʊ . s ˌɪ s . t ə m
changes,chang.es,t͡ʃ ˈeɪ n d͡ʒ ɪ z,t͡ʃ ˈeɪ n d͡ʒ . ɪ z
part,part,p ˈɑ ɹ t,p ˈɑ ɹ t
can,can,k ə n,k ə n
others,oth.ers,ˈʌ ð ɚ z,ˈʌ ð . ɚ z
there,there,ð ˈɛ ɹ,ð ˈɛ ɹ
plastic,plas.tic,p l ˈæ s t ɪ k,p l ˈæ s . t ɪ k
deep,deep,d ˈi p,d ˈi p
seas,seas,s ˈi z,s ˈi z
yes,yes,j ˈɛ s,j ˈɛ s
even,e.ven,ˈi v ə n,ˈi . v ə n
sea,sea,s ˈi,s ˈi
have,have,h ˈæ v,h ˈæ v
been,been,b ˈɪ n,b ˈɪ n
found,found,f ˈaʊ n d,f ˈaʊ n d
with,with,w ˈɪ θ,w ˈɪ θ
inside,in.side,ˈɪ n s ˌaɪ d,ˈɪ n . s ˌaɪ d
them,them,ð ˈɛ m,ð ˈɛ m
who,who,h ˈu,h ˈu
look,look,l ˈʊ k,l ˈʊ k
at,at,ˈæ t,ˈæ t
over,o.ver,ˈoʊ v ɚ,ˈoʊ . v ɚ
time,time,t ˈaɪ m,t ˈaɪ m
why,why,w ˈaɪ,w ˈaɪ
are,are,ˈɑ ɹ,ˈɑ ɹ
their,their,ð ˈɛ ɹ,ð ˈɛ ɹ
region,re.gion,ɹ ˈi d͡ʒ ə n,ɹ ˈi . d͡ʒ ə n
also,al.so,ˈɔ l s oʊ,ˈɔ l . s oʊ
give,give,ɡ ˈɪ v,ɡ ˈɪ v
tools,tools,t ˈu l z,t ˈu l z
survive,sur.vive,s ɚ v ˈaɪ v,s ɚ . v ˈaɪ v
changing,chang.ing,t͡ʃ ˈeɪ n d͡ʒ ɪ ŋ,t͡ʃ ˈeɪ n . d͡ʒ ɪ ŋ
climate,cli.mate,k l ˈaɪ m ɪ t,k l ˈaɪ . m ɪ t
understanding,un.der.stand.ing,ˌʌ n d ɚ s t ˈæ n d ɪ ŋ,ˌʌ n . d ɚ . s t ˈæ n . d ɪ ŋ
for,for,f ɚ,f ɚ
farming,farm.ing,f ˈɑ ɹ m ɪ ŋ,f ˈɑ ɹ . m ɪ ŋ
medicine,med.i.cine,m ˈɛ d ɪ s ə n,m ˈɛ d . ɪ . s ə n
we,we,w ˈi,w ˈi
learn,learn,l ˈɚ n,l ˈɚ n
evolve,e.volve,ɪ v ˈɑ l v,ɪ . v ˈɑ l v
!,,!,
plant,plant,p l ˈæ n t,p l ˈæ n t
change,change,t͡ʃ ˈeɪ n d͡ʒ,t͡ʃ ˈeɪ n d͡ʒ
how,how,h ˈaʊ,h ˈaʊ
be,be,b ˈi,b ˈi
easy,eas.y,ˈi z i,ˈi . z i
according,ac.cord.ing,ə k ˈɔ ɹ d ɪ ŋ,ə . k ˈɔ ɹ . d ɪ ŋ
or,or,ˈɔ ɹ,ˈɔ ɹ
animal,an.i.mal,ˈæ n ə m ə l,ˈæ n . ə . m ə l
into,in.to,ˈɪ n t u,ˈɪ n . t u
no,no,n ˈoʊ,n ˈoʊ
changed,changed,t͡ʃ ˈeɪ n d͡ʒ d,t͡ʃ ˈeɪ n d͡ʒ d
good,good,ɡ ˈʊ d,ɡ ˈʊ d
certain,cer.tain,s ˈɚ t ə n,s ˈɚ . t ə n
places,places,p l ˈeɪ s ɪ z,p l ˈeɪ s ɪ . z
where,where,w ˈɛ ɹ,w ˈɛ ɹ
type,type,t ˈaɪ p,t ˈaɪ p
landscape,land.scape,l ˈæ n d s k ˌeɪ p,l ˈæ n d . s k ˌeɪ p
affects,af.fects,ə f ˈɛ k t s,ə . f ˈɛ k t s
weather,weath.er,w ˈɛ ð ɚ,w ˈɛ ð . ɚ
that,that,ð ˈæ t,ð ˈæ t
will,will,w ˈɪ l,w ˈɪ l
clues,clues,k l ˈu z,k l ˈu z
as,as,ˈæ z,ˈæ z
roles,roles,ɹ ˈoʊ l z,ɹ ˈoʊ l z
might,might,m ˈaɪ t,m ˈaɪ t
play,play,p l ˈeɪ,p l ˈeɪ
some,some,s ˈʌ m,s ˈʌ m
similar,sim.i.lar,s ˈɪ m ɪ l ɚ,s ˈɪ m . ɪ . l ɚ
each,each,ˈi t͡ʃ,ˈi t͡ʃ
other,oth.er,ˈʌ ð ɚ,ˈʌ ð . ɚ
both,both,b ˈoʊ θ,b ˈoʊ θ
came,came,k ˈeɪ m,k ˈeɪ m
same,same,s ˈeɪ m,s ˈeɪ m
ancestor,an.ces.tor,ˈæ n s ˌɛ s t ɚ,ˈæ n . s ˌɛ s . t ɚ
example,ex.am.ple,ɪ ɡ z ˈæ m p ə l,ɪ ɡ . z ˈæ m . p ə l
accurate,ac.cu.rate,ˈæ k j ɚ ɪ t,ˈæ k . k j ˈu .  ɹ ɪ t
possum,pos.sum,p ˈɑ s ə m,p ˈɑ s . ə m
american,a.mer.i.can,ə m ˈɛ ɹ ɪ k ə n,ə . m ˈɛ ɹ . ɪ . k ə n
opossum,o.poss.um,oʊ p ˈɑ s ə m,oʊ p ˈɑ s ə m
octopuses,oc.to.pus.es,ˈɑ k t ə p ə s ɪ z,ˈɑ k . t ə . p ə s . ɪ z
squids,squids,s k w ˈɪ d z,s k w ˈɪ d z
mouth,mouth,m ˈaʊ θ,m ˈaʊ θ
beak,beak,b ˈi k,b ˈi k
so,so,s ˈoʊ,s ˈoʊ
differences,dif.fer.enc.es,d ˈɪ f ɹ ə n s ɪ z,d ˈɪ f . ɹ . ə n s . ɪ z
between,be.tween,b ɪ t w ˈi n,b ɪ . t w ˈi n
actually,ac.tu.al.ly,ˈæ k t͡ʃ ə l i,ˈæ k . t͡ʃ u . ə l . l i
similarities,sim.i.lar.i.ties,s ˌɪ m ɪ l ˈɛ ɹ ə t i z,s ˌɪ m . ɪ . l ˈɛ . ɹ ə . t i z
all,all,ˈɔ l,ˈɔ l
come,come,k ˈʌ m,k ˈʌ m
but,but,b ˈʌ t,b ˈʌ t
branched,branched,b ɹ ˈæ n t͡ʃ t,
off,off,ˈɔ f,ˈɔ f
along,a.long,ə l ˈɔ ŋ,ə . l ˈɔ ŋ
way,way,w ˈeɪ,w ˈeɪ
sticks,sticks,s t ˈɪ k s,s t ˈɪ k s
usually,u.sual.ly,j ˈu ʒ ə l i,j ˈu . ʒ ə . l i
helps,helps,h ˈɛ l p s,h ˈɛ l p s
its,its,ˈɪ t s,ˈɪ t s
environment,en.vi.ron.ment,ɪ n v ˈaɪ ɹ ə n m ə n t,ɪ n . v ˈaɪ . ɹ ə n . m ə n t
did,did,d ˈɪ d,d ˈɪ d
added,ad.ded,ˈæ d ɪ d,ˈæ d . d ɪ d
dinosaurs,di.no.saurs,d ˈaɪ n ə s ˌɔ ɹ z,d ˈaɪ . n ə . s ˌɔ ɹ z
t,tee,t ˈi,t ˈi
rex,rex,ɹ ˈɛ k s,ɹ ˈɛ k s
address,ad.dress,ˈæ d ɹ ˌɛ s,ˈæ d . d ɹ ˌɛ s
birds,birds,b ˈɚ d z,b ˈɚ d z
adult,a.dult,ə d ˈʌ l t,ə . d ˈʌ l t
bodies,bod.ies,b ˈɑ d i z,b ˈɑ . d i z
adults,a.dults,ə d ˈʌ l t s,ə d . d ˈʌ l t s
lot,lot,l ˈɑ t,l ˈɑ t
observing,ob.serv.ing,ə b z ˈɚ v ɪ ŋ,
you,you,j ˈu,j ˈu
diet,di.et,d ˈaɪ ə t,d ˈaɪ . ə t
attacks,at.tacks,ə t ˈæ k s,ə . t ˈæ k s
defends,de.fends,d ɪ f ˈɛ n d z,d ɪ . f ˈɛ n d z
social,so.cial,s ˈoʊ ʃ ə l,s ˈoʊ . ʃ ə l
kind,kind,k ˈaɪ n d,k ˈaɪ n d
many,man.y,m ˈɛ n i,m ˈɛ n . i
teach,teach,t ˈi t͡ʃ,t ˈi t͡ʃ
these,these,ð ˈi z,ð ˈi z
skills,skills,s k ˈɪ l z,s k ˈɪ l z
health,health,h ˈɛ l θ,h ˈɛ l θ
go,go,ɡ ˈoʊ,ɡ ˈoʊ
wrong,wrong,ɹ ˈɔ ŋ,ɹ ˈɔ ŋ
diseases,dis.eas.es,d ɪ z ˈi z ɪ z,d ɪ . z ˈi z . ɪ z
catch,catch,k ˈæ t͡ʃ,k ˈæ t͡ʃ
n,,ˈɛ n,
families,fam.i.lies,f ˈæ m ɪ l i z,f ˈæ m . ɪ l . i z
habits,hab.its,h ˈæ b ə t s,h ˈæ b . ə t s
cause,cause,k ˈɔ z,k ˈɔ z
become,be.come,b ɪ k ˈʌ m,b ɪ . k ˈʌ m
ill,ill,ˈɪ l,ˈɪ l
your,your,j ˈʊ ɹ,j ˈʊ ɹ
unique,u.nique,j u n ˈi k,j u . n ˈi k
every,eve.ry,ˈɛ v ɹ i,ˈɛ v . ɹ i
person,per.son,p ˈɚ s ə n,p ˈɚ . s ə n
planet,plan.et,p l ˈæ n ə t,p l ˈæ n . ə t
has,has,h ˈæ z,h ˈæ z
own,own,ˈoʊ n,ˈoʊ n
farmers,far.mers,f ˈɑ ɹ m ɚ z,f ˈɑ ɹ . m ɚ z
ways,ways,w ˈeɪ z,w ˈeɪ z
keep,keep,k ˈi p,k ˈi p
crops,crops,k ɹ ˈɑ p s,k ɹ ˈɑ p s
livestock,live.stock,l ˈaɪ v s t ˌɑ k,l ˈaɪ v . s t ˌɑ k
healthy,health.y,h ˈɛ l θ i,h ˈɛ l . θ i
make,make,m ˈeɪ k,m ˈeɪ k
afternoon,af.ter.noon,ˌæ f t ɚ n ˈu n,ˌæ f . t ɚ . n ˈu n
difficult,dif.fi.cult,d ˈɪ f ɪ k ʌ l t,d ˈɪ f . ɪ . k ʌ l t
need,need,n ˈi d,n ˈi d
put,put,p ˈʊ t,p ˈʊ t
now,now,n ˈaʊ,n ˈaʊ
provide,pro.vide,p ɹ ə v ˈaɪ d,p ɹ ə . v ˈaɪ d
enough,e.nough,ɪ n ˈʌ f,ɪ . n ˈʌ f
food,food,f ˈu d,f ˈu d
afternoons,af.ter.noons,ˌæ f t ɚ n ˈu n z,ˌæ f . t ɚ . n ˈu n z
only,on.ly,ˈoʊ n l i,ˈoʊ n . l i
grown,grown,ɡ ɹ ˈoʊ n,ɡ ɹ ˈoʊ n
know,know,n ˈoʊ,n ˈoʊ
terrible,ter.ri.ble,t ˈɛ ɹ ɪ b ə l,t ˈɛ ɹ . ɪ . b ə l
soil,soil,s ˈɔɪ l,s ˈɔɪ l
pieces,piec.es,p ˈi s ɪ z,p ˈi s . ɪ z
equiptment,,ɪ k w ˈɪ p t m ə n t,
lab,lab,l ˈæ b,l ˈæ b
again,a.gain,ə ɡ ˈɛ n,ə . ɡ ˈɛ n
dissection,dis.sec.tion,d aɪ s ˈɛ k ʃ ə n,d aɪ . s ˈɛ k . ʃ ə n
work,work,w ˈɚ k,w ˈɚ k
grow,grow,ɡ ɹ ˈoʊ,ɡ ɹ ˈoʊ
kinds,kinds,k ˈaɪ n d z,k ˈaɪ n d z
bacteria,bac.te.ri.a,b æ k t ˈɪ ɹ i ə,b æ k . t ˈɪ ɹ . i . ə
dishes,dishes,d ˈɪ ʃ ɪ z,d ˈɪ ʃ . ɪ z
field,field,f ˈi l d,f ˈi l d
agile,a.gile,ˈæ d͡ʒ ə l,ˈæ . d͡ʒ aɪ l
cameras,came.ras,k ˈæ m ɚ ə z,k ˈæ m . ɚ ə z
capture,cap.ture,k ˈæ p t͡ʃ ɚ,k ˈæ p . t͡ʃ ɚ
footage,foot.age,f ˈʊ t ɪ d͡ʒ,f ˈʊ t . ɪ d͡ʒ
tags,tags,t ˈæ ɡ z,t ˈæ ɡ z
trace,trace,t ɹ ˈeɪ s,t ɹ ˈeɪ s
travel,trav.el,t ɹ ˈæ v ə l,t ɹ ˈæ v . ə l
picture,pic.ture,p ˈɪ k t͡ʃ ɚ,p ˈɪ k . t͡ʃ ɚ
dust,dust,d ˈʌ s t,d ˈʌ s t
mite,mite,m ˈaɪ t,m ˈaɪ t
through,through,θ ɹ ˈu,θ ɹ ˈu
electron,e.lec.tron,ɪ l ˈɛ k t ɹ ɔ n,ɪ . l ˈɛ k . t ɹ ɔ n
ambles,am.bles,ˈæ m b ə l z,ˈæ m . b ə l z
space,space,s p ˈeɪ s,s p ˈeɪ s
international,in.ter.na.tion.al,ˌɪ n t ɚ n ˈæ ʃ ə n ə l,ˌɪ n . t ɚ . n ˈæ ʃ . ə n . ə l
station,sta.tion,s t ˈeɪ ʃ ə n,s t ˈeɪ . ʃ ə n
behave,be.have,b ɪ h ˈeɪ v,b ɪ . h ˈeɪ v
anika,an.i.ka,ˈæ n ˈi k ə,ˈæ n . ˈi . k ə
plan,plan,p l ˈæ n,p l ˈæ n
moon,moon,m ˈu n,m ˈu n
mars,mars,m ˈɑ ɹ z,m ˈɑ ɹ z
needs,needs,n ˈi d z,n ˈi d z
life,life,l ˈaɪ f,l ˈaɪ f
expensive,ex.pen.sive,ɪ k s p ˈɛ n s ɪ v,ɪ k . s p ˈɛ n . s ɪ v
experiments,ex.per.i.ments,ɪ k s p ˈɛ ɹ ɪ m ə n t s,ɪ k . s p ˈɛ ɹ . ɪ . m ə n t s
thought,thought,θ ˈɔ t,θ ˈɔ t
goes,goes,ɡ ˈoʊ z,ɡ ˈoʊ z
future,fu.ture,f j ˈu t͡ʃ ɚ,f j ˈu . t͡ʃ ɚ
struggling,strug.gling,s t ɹ ˈʌ ɡ l ɪ ŋ,s t ɹ ˈʌ ɡ . l ɪ ŋ
human,hu.man,h j ˈu m ə n,h j ˈu . m ə n
another,an.oth.er,ə n ˈʌ ð ɚ,ə . n ˈʌ ð . ɚ
being,be.ing,b ˈi ɪ ŋ,b ˈi . ɪ ŋ
affected,af.fect.ed,ə f ˈɛ k t ɪ d,ə . f ˈɛ k . t ɪ d
sure,sure,ʃ ˈʊ ɹ,ʃ ˈʊ ɹ
years,years,j ˈɪ ɹ z,j ˈɪ ɹ z
possible,pos.si.ble,p ˈɑ s ə b ə l,p ˈɑ . s ə . b ə l
apron,a.pron,ˈeɪ p ɹ ə n,ˈeɪ . p ɹ ə n
takes,takes,t ˈeɪ k s,t ˈeɪ k s
hard,hard,h ˈɑ ɹ d,h ˈɑ ɹ d
money,mon.ey,m ˈʌ n i,m ˈʌ n . i
armour,arm.our,ˈɑ ɹ m ɚ,ˈɑ ɹ m . ɚ
callum,callum,k ˈæ l ə m,k ˈæ l ə m
drives,drives,d ɹ ˈaɪ v z,d ɹ ˈaɪ v z
cars,cars,k ˈɑ ɹ z,k ˈɑ ɹ z
wins,wins,w ˈɪ n z,w ˈɪ n z
he,he,h ˈi,h ˈi
thinks,thinks,θ ˈɪ ŋ k s,θ ˈɪ ŋ k s
best,best,b ˈɛ s t,b ˈɛ s t
wants,wants,w ˈɔ n t s,w ˈɔ n t s
his,his,h ˈɪ z,h ˈɪ z
car,car,k ˈɑ ɹ,k ˈɑ ɹ
yet,yet,j ˈɛ t,j ˈɛ t
gets,gets,ɡ ˈɛ t s,ɡ ˈɛ t s
bits,bits,b ˈɪ t s,b ˈɪ t s
puts,puts,p ˈʊ t s,p ˈʊ t s
bolt,bolt,b ˈoʊ l t,b ˈoʊ l t
side,side,s ˈaɪ d,s ˈaɪ d
tenth,tenth,t ˈɛ n θ,t ˈɛ n θ
then,then,ð ˈɛ n,ð ˈɛ n
fifth,fifth,f ˈɪ f θ,f ˈɪ f θ
mum,mum,m ˈʌ m,m ˈʌ m
dad,dad,d ˈæ d,d ˈæ d
frog,frog,f ɹ ˈɑ ɡ,f ɹ ˈɑ ɡ
stars,stars,s t ˈɑ ɹ z,s t ˈɑ ɹ z
hill,hill,h ˈɪ l,h ˈɪ l
too,too,t ˈu,t ˈu
far,far,f ˈɑ ɹ,f ˈɑ ɹ
next,next,n ˈɛ k s t,n ˈɛ k s t
up,up,ˈʌ p,ˈʌ p
still,still,s t ˈɪ l,s t ˈɪ l
must,must,m ˈʌ s t,m ˈʌ s t
land,land,l ˈæ n d,l ˈæ n d
pond,pond,p ˈɑ n d,p ˈɑ n d
jumps,jumps,d͡ʒ ˈʌ m p s,d͡ʒ ˈʌ m p s
plop,plop,p l ˈɑ p,p l ˈɑ p
got,got,ɡ ˈɑ t,ɡ ˈɑ t
glad,glad,ɡ l ˈæ d,ɡ l ˈæ d
white,white,w ˈaɪ t,w ˈaɪ t
buffalo,buf.fa.lo,b ˈʌ f ə l oʊ,b ˈʌ f . ə . l oʊ
calf,calf,k ˈæ f,k ˈæ f
abi,a.bi,ə b i,ə . b i
calls,calls,k ˈɔ l z,k ˈɔ l z
him,him,h ˈɪ m,h ˈɪ m
kobi,ko.bi,k ˈoʊ b i,k ˈoʊ b . i
joy,joy,d͡ʒ ˈɔɪ,d͡ʒ ˈɔɪ
farm,farm,f ˈɑ ɹ m,f ˈɑ ɹ m
feed,feed,f ˈi d,f ˈi d
bath,bath,b ˈæ θ,b ˈæ θ
sings,sings,s ˈɪ ŋ z,s ˈɪ ŋ z
makes,makes,m ˈeɪ k s,m ˈeɪ k s
calm,calm,k ˈɑ m,k ˈɑ m
fete,fete,f ˈeɪ t,f ˈeɪ t
town,town,t ˈaʊ n,t ˈaʊ n
chance,chance,t͡ʃ ˈæ n s,t͡ʃ ˈæ n s
show,show,ʃ ˈoʊ,ʃ ˈoʊ
grass,grass,ɡ ɹ ˈæ s,ɡ ɹ ˈæ s
likes,likes,l ˈaɪ k s,l ˈaɪ k s
crowd,crowd,k ɹ ˈaʊ d,k ɹ ˈaʊ d
want,want,w ˈɔ n t,w ˈɔ n t
see,see,s ˈi,s ˈi
kids,kids,k ˈɪ d z,k ˈɪ d z
not,not,n ˈɑ t,n ˈɑ t
slow,slow,s l ˈoʊ,s l ˈoʊ
rush,rush,ɹ ˈʌ ʃ,ɹ ˈʌ ʃ
pat,pat,p ˈæ t,p ˈæ t
does,does,d ˈʌ z,d ˈʌ z
hand,hand,h ˈæ n d,h ˈæ n d
hush,hush,h ˈʌ ʃ,h ˈʌ ʃ
smells,smells,s m ˈɛ l z,s m ˈɛ l z
stalls,stalls,s t ˈɔ l z,s t ˈɔ l z
eat,eat,ˈi t,ˈi t
while,while,w ˈaɪ l,w ˈaɪ l
gone,gone,ɡ ˈɔ n,ɡ ˈɔ n
try,try,t ɹ ˈaɪ,t ɹ ˈaɪ
grab,grab,ɡ ɹ ˈæ b,ɡ ɹ ˈæ b
scare,scare,s k ˈɛ ɹ,s k ˈɛ ɹ
stroke,stroke,s t ɹ ˈoʊ k,s t ɹ ˈoʊ k
walk,walk,w ˈɔ k,w ˈɔ k
rest,rest,ɹ ˈɛ s t,ɹ ˈɛ s t
safe,safe,s ˈeɪ f,s ˈeɪ f
arrange,ar.range,ɚ ˈeɪ n d͡ʒ,ɚ . ɹ ˈeɪ n d͡ʒ
works,works,w ˈɚ k s,w ˈɚ k s
out,out,ˈaʊ t,ˈaʊ t
forest,for.est,f ˈɔ ɹ ɪ s t,f ˈɔ ɹ . ɪ s t
brings,brings,b ɹ ˈɪ ŋ z,b ɹ ˈɪ ŋ z
happiness,hap.pi.ness,h ˈæ p i n ə s,h ˈæ p . i . n ə s
checks,checks,t͡ʃ ˈɛ k s,t͡ʃ ˈɛ k s
day,day,d ˈeɪ,d ˈeɪ
doing,doing,d ˈu ɪ ŋ,d ˈu ɪ ŋ
well,well,w ˈɛ l,w ˈɛ l
bees,bees,b ˈi z,b ˈi z
role,role,ɹ ˈoʊ l,ɹ ˈoʊ l
spread,spread,s p ɹ ˈɛ d,s p ɹ ˈɛ d
pollen,pol.len,p ˈɑ l ə n,p ˈɑ . l ə n
growing,grow.ing,ɡ ɹ ˈoʊ ɪ ŋ,ɡ ɹ ˈoʊ . ɪ ŋ
homes,homes,h ˈoʊ m z,h ˈoʊ m z
knows,knows,n ˈoʊ z,n ˈoʊ z
fairness,fair.ness,f ˈɛ ɹ n ə s,f ˈɛ ɹ . n ə s
feather,feath.er,f ˈɛ ð ɚ,f ˈɛ . ð ɚ
chick,chick,t͡ʃ ˈɪ k,t͡ʃ ˈɪ k
picks,picks,p ˈɪ k s,p ˈɪ k s
ground,ground,ɡ ɹ ˈaʊ n d,ɡ ɹ ˈaʊ n d
frightened,fright.ened,f ɹ ˈaɪ t ə n d,f ɹ ˈaɪ . t ə n d
pose,pose,p ˈoʊ z,p ˈoʊ z
danger,dan.ger,d ˈeɪ n d͡ʒ ɚ,d ˈeɪ n . d͡ʒ ɚ
snake,snake,s n ˈeɪ k,s n ˈeɪ k
spot,spot,s p ˈɑ t,s p ˈɑ t
stays,stays,s t ˈeɪ z,s t ˈeɪ z
back,back,b ˈæ k,b ˈæ k
feel,feel,f ˈi l,f ˈi l
spiders,spi.ders,s p ˈaɪ d ɚ z,s p ˈaɪ . d ɚ z
bother,both.er,b ˈɑ ð ɚ,b ˈɑ . ð ɚ
either,ei.ther,ˈi ð ɚ,ˈi . ð ɚ
belong,be.long,b ɪ l ˈɔ ŋ,b ɪ . l ˈɔ ŋ
signs,signs,s ˈaɪ n z,s ˈaɪ n z
spinning,spinning,s p ˈɪ n ɪ ŋ,s p ˈɪ n ɪ ŋ
strong,strong,s t ɹ ˈɔ ŋ,s t ɹ ˈɔ ŋ
web,web,w ˈɛ b,w ˈɛ b
right,right,ɹ ˈaɪ t,ɹ ˈaɪ t
arrive,ar.rive,ɚ ˈaɪ v,ɚ . ɹ ˈaɪ v
quietness,quietness,k w ˈaɪ ə t n ə s,k w ˈaɪ ə t n ə s
joey,jo.ey,d͡ʒ ˈoʊ i,d͡ʒ ˈoʊ . i
had,had,h ˈæ d,h ˈæ d
long,long,l ˈɔ ŋ,l ˈɔ ŋ
ago,a.go,ə ɡ ˈoʊ,ə . ɡ ˈoʊ
worried,wor.ried,w ˈɚ i d,w ˈɚ . i d
keeps,keeps,k ˈi p s,k ˈi p s
starts,starts,s t ˈɑ ɹ t s,s t ˈɑ ɹ t s
finds,finds,f ˈaɪ n d z,f ˈaɪ n d z
poor,poor,p ˈʊ ɹ,p ˈʊ ɹ
trap,trap,t ɹ ˈæ p,t ɹ ˈæ p
mad,mad,m ˈæ d,m ˈæ d
job,job,d͡ʒ ˈɑ b,d͡ʒ ˈɑ b
first,first,f ˈɚ s t,f ˈɚ s t
frees,frees,f ɹ ˈi z,f ɹ ˈi z
hurt,hurt,h ˈɚ t,h ˈɚ t
lucky,luck.y,l ˈʌ k i,l ˈʌ k . i
wickedness,wick.ed.ness,w ˈɪ k ɪ d n ə s,w ˈɪ k . ɪ d . n ə s
would,would,w ˈʊ d,w ˈʊ d
traps,traps,t ɹ ˈæ p s,t ɹ ˈæ p s
here,here,h ˈɪ ɹ,h ˈɪ ɹ
find,find,f ˈaɪ n d,f ˈaɪ n d
man,man,m ˈæ n,m ˈæ n
cops,cops,k ˈɑ p s,k ˈɑ p s
deal,deal,d ˈi l,d ˈi l
gives,gives,ɡ ˈɪ v z,ɡ ˈɪ v z
arrives,ar.rives,ɚ ˈaɪ v z,ɚ . ɹ ˈaɪ v z
tests,tests,t ˈɛ s t s,t ˈɛ s t s
microbes,mi.crobes,m ˈaɪ k ɹ ˌoʊ b z,m ˈaɪ . k ɹ ˌoʊ b z
class,class,k l ˈæ s,k l ˈæ s
she,she,ʃ ˈi,ʃ ˈi
was,was,w ə z,w ə z
school,school,s k ˈu l,s k ˈu l
set,set,s ˈɛ t,s ˈɛ t
goal,goal,ɡ ˈoʊ l,ɡ ˈoʊ l
small,small,s m ˈɔ l,s m ˈɔ l
bad,bad,b ˈæ d,b ˈæ d
smell,smell,s m ˈɛ l,s m ˈɛ l
fridge,fridge,f ɹ ˈɪ d͡ʒ,f ɹ ˈɪ d͡ʒ
test,test,t ˈɛ s t,t ˈɛ s t
fruit,fruit,f ɹ ˈu t,f ɹ ˈu t
tries,tries,t ɹ ˈaɪ z,t ɹ ˈaɪ z
think,think,θ ˈɪ ŋ k,θ ˈɪ ŋ k
